2008-10-02, #NA
2008-10-03, #NA
2008-10-04, 1
2008-10-05, #NA
2008-10-06, #NA
2008-10-07, #NA
2008-10-08, #NA
2008-10-09, 1
2008-10-10, #NA
2008-10-11, 1
2008-10-12, #NA
2008-10-13, #NA
2008-10-14, 2
2008-10-15, #NA
2008-10-16, #NA
2008-10-17, 1
2008-10-18, #NA
2008-10-19, 1
2008-10-20, #NA
2008-10-21, #NA
2008-10-22, 1
2008-10-23, #NA
2008-10-24, #NA
2008-10-25, #NA
2008-10-26, 1
2008-10-27, #NA
2008-10-28, #NA
2008-10-29, #NA
2008-10-30, #NA
2008-10-31, 1
2008-11-01, 1
2008-11-02, #NA
2008-11-03, #NA
2008-11-04, 1
2008-11-05, 51
2008-11-06, #NA
2008-11-07, #NA
2008-11-08, #NA
2008-11-09, #NA
2008-11-10, 1
2008-11-11, #NA
2008-11-12, #NA
2008-11-13, #NA
2008-11-14, #NA
2008-11-15, 1
2008-11-16, 1
2008-11-17, #NA
2008-11-18, #NA
2008-11-19, #NA
2008-11-20, #NA
2008-11-21, 1
2008-11-22, 1
2008-11-23, 2
2008-11-24, #NA
2008-11-25, #NA
2008-11-26, 2
2008-11-27, #NA
2008-11-28, 1
2008-11-29, #NA
2008-11-30, 2
2008-12-01, #NA
2008-12-02, #NA
2008-12-03, 1
2008-12-04, #NA
2008-12-05, #NA
2008-12-06, 98
2008-12-07, 67
2008-12-08, 59
2008-12-09, 90
2008-12-10, 123
2008-12-11, 129
2008-12-12, 79
2008-12-13, 111
2008-12-14, 56
2008-12-15, 90
2008-12-16, 78
2008-12-17, 107
2008-12-18, 106
2008-12-19, 103
2008-12-20, 91
2008-12-21, 55
2008-12-22, 63
2008-12-23, 92
2008-12-24, 96
2008-12-25, 76
2008-12-26, 45
2008-12-27, 74
2008-12-28, 62
2008-12-29, 74
2008-12-30, 104
2008-12-31, #NA
2009-01-01, 48
2009-01-02, 72
2009-01-03, 71
2009-01-04, 69
2009-01-05, 123
2009-01-06, 99
2009-01-07, 134
2009-01-08, 161
2009-01-09, 126
2009-01-10, 91
2009-01-11, 119
2009-01-12, 127
2009-01-13, 109
2009-01-14, 202
2009-01-15, 147
2009-01-16, 128
2009-01-17, 106
2009-01-18, 118
2009-01-19, 70
2009-01-20, 41
2009-01-21, 98
2009-01-22, 188
2009-01-23, 135
2009-01-24, 74
2009-01-25, 81
2009-01-26, 123
2009-01-27, 137
2009-01-28, 164
2009-01-29, 180
2009-01-30, 185
2009-01-31, 137
2009-02-01, 132
2009-02-02, 146
2009-02-03, 143
2009-02-04, 174
2009-02-05, 159
2009-02-06, 142
2009-02-07, 149
2009-02-08, 140
2009-02-09, 173
2009-02-10, 192
2009-02-11, 196
2009-02-12, 179
2009-02-13, 157
2009-02-14, 158
2009-02-15, 144
2009-02-16, 158
2009-02-17, 119
2009-02-18, 138
2009-02-19, 128
2009-02-20, 186
2009-02-21, 161
2009-02-22, 146
2009-02-23, 183
2009-02-24, 181
2009-02-25, 174
2009-02-26, 152
2009-02-27, 145
2009-02-28, 180
2009-03-01, 26
2009-03-02, 16
2009-03-03, 23
2009-03-04, 19
2009-03-05, 34
2009-03-06, 25
2009-03-07, 17
2009-03-08, 25
2009-03-09, 24
2009-03-10, 31
2009-03-11, 25
2009-03-12, 24
2009-03-13, 36
2009-03-14, 29
2009-03-15, 16
2009-03-16, 34
2009-03-17, 15
2009-03-18, 33
2009-03-19, 25
2009-03-20, 27
2009-03-21, 20
2009-03-22, 15
2009-03-23, 25
2009-03-24, 11
2009-03-25, 19
