2008-10-02, 1
2008-10-03, #NA
2008-10-04, 3
2008-10-05, 1
2008-10-06, 1
2008-10-07, 2
2008-10-08, 4
2008-10-09, 1
2008-10-10, #NA
2008-10-11, #NA
2008-10-12, #NA
2008-10-13, 2
2008-10-14, 3
2008-10-15, 2
2008-10-16, 1
2008-10-17, 4
2008-10-18, 1
2008-10-19, 3
2008-10-20, 2
2008-10-21, 5
2008-10-22, 4
2008-10-23, 5
2008-10-24, 3
2008-10-25, 1
2008-10-26, 2
2008-10-27, 2
2008-10-28, 2
2008-10-29, 1
2008-10-30, 3
2008-10-31, 2
2008-11-01, #NA
2008-11-02, #NA
2008-11-03, 1
2008-11-04, 1
2008-11-05, 341
2008-11-06, 4
2008-11-07, 2
2008-11-08, 1
2008-11-09, #NA
2008-11-10, 1
2008-11-11, 1
2008-11-12, 5
2008-11-13, 2
2008-11-14, 3
2008-11-15, 6
2008-11-16, 4
2008-11-17, #NA
2008-11-18, 3
2008-11-19, 4
2008-11-20, 3
2008-11-21, 4
2008-11-22, 3
2008-11-23, 2
2008-11-24, 1
2008-11-25, 2
2008-11-26, 3
2008-11-27, 4
2008-11-28, 5
2008-11-29, 2
2008-11-30, 1
2008-12-01, #NA
2008-12-02, 9
2008-12-03, 8
2008-12-04, 7
2008-12-05, 5
2008-12-06, 1307
2008-12-07, 840
2008-12-08, 770
2008-12-09, 1261
2008-12-10, 1235
2008-12-11, 1450
2008-12-12, 1162
2008-12-13, 1366
2008-12-14, 805
2008-12-15, 818
2008-12-16, 1145
2008-12-17, 1342
2008-12-18, 1214
2008-12-19, 1635
2008-12-20, 1310
2008-12-21, 810
2008-12-22, 729
2008-12-23, 1003
2008-12-24, 1258
2008-12-25, 977
2008-12-26, 511
2008-12-27, 686
2008-12-28, 746
2008-12-29, 856
2008-12-30, 1250
2008-12-31, #NA
2009-01-01, 697
2009-01-02, 936
2009-01-03, 807
2009-01-04, 950
2009-01-05, 1508
2009-01-06, 1387
2009-01-07, 1558
2009-01-08, 1517
2009-01-09, 1511
2009-01-10, 1110
2009-01-11, 1123
2009-01-12, 1422
2009-01-13, 1428
2009-01-14, 2098
2009-01-15, 1749
2009-01-16, 1387
2009-01-17, 1267
2009-01-18, 1168
2009-01-19, 731
2009-01-20, 335
2009-01-21, 1218
2009-01-22, 2307
2009-01-23, 1539
2009-01-24, 1039
2009-01-25, 1071
2009-01-26, 1368
2009-01-27, 1589
2009-01-28, 1940
2009-01-29, 1935
2009-01-30, 1913
2009-01-31, 1600
2009-02-01, 1481
2009-02-02, 1418
2009-02-03, 1725
2009-02-04, 1737
2009-02-05, 1935
2009-02-06, 1853
2009-02-07, 1480
2009-02-08, 1617
2009-02-09, 1796
2009-02-10, 1813
2009-02-11, 1615
2009-02-12, 1894
2009-02-13, 1799
2009-02-14, 1680
2009-02-15, 1621
2009-02-16, 1725
2009-02-17, 1638
2009-02-18, 1854
