2008-10-02, #NA
2008-10-03, 2
2008-10-04, #NA
2008-10-05, #NA
2008-10-06, #NA
2008-10-07, #NA
2008-10-08, #NA
2008-10-09, #NA
2008-10-10, #NA
2008-10-11, #NA
2008-10-12, #NA
2008-10-13, 1
2008-10-14, #NA
2008-10-15, #NA
2008-10-16, #NA
2008-10-17, #NA
2008-10-18, 1
2008-10-19, #NA
2008-10-20, #NA
2008-10-21, #NA
2008-10-22, #NA
2008-10-23, #NA
2008-10-24, #NA
2008-10-25, #NA
2008-10-26, 3
2008-10-27, #NA
2008-10-28, #NA
2008-10-29, 1
2008-10-30, 1
2008-10-31, #NA
2008-11-01, #NA
2008-11-02, #NA
2008-11-03, 1
2008-11-04, #NA
2008-11-05, 212
2008-11-06, 2
2008-11-07, 1
2008-11-08, #NA
2008-11-09, 1
2008-11-10, 1
2008-11-11, #NA
2008-11-12, 1
2008-11-13, #NA
2008-11-14, #NA
2008-11-15, 1
2008-11-16, #NA
2008-11-17, #NA
2008-11-18, #NA
2008-11-19, #NA
2008-11-20, 1
2008-11-21, #NA
2008-11-22, 1
2008-11-23, #NA
2008-11-24, #NA
2008-11-25, #NA
2008-11-26, #NA
2008-11-27, #NA
2008-11-28, #NA
2008-11-29, #NA
2008-11-30, #NA
2008-12-01, #NA
2008-12-02, 1
2008-12-03, 1
2008-12-04, #NA
2008-12-05, #NA
2008-12-06, 152
2008-12-07, 97
2008-12-08, 71
2008-12-09, 129
2008-12-10, 123
2008-12-11, 150
2008-12-12, 131
2008-12-13, 160
2008-12-14, 103
2008-12-15, 115
2008-12-16, 126
2008-12-17, 144
2008-12-18, 126
2008-12-19, 163
2008-12-20, 169
2008-12-21, 96
2008-12-22, 90
2008-12-23, 117
2008-12-24, 177
2008-12-25, 172
2008-12-26, 134
2008-12-27, 82
2008-12-28, 93
2008-12-29, 106
2008-12-30, 137
2008-12-31, #NA
2009-01-01, 139
2009-01-02, 106
2009-01-03, 96
2009-01-04, 104
2009-01-05, 209
2009-01-06, 214
2009-01-07, 186
2009-01-08, 196
2009-01-09, 207
2009-01-10, 167
2009-01-11, 169
2009-01-12, 185
2009-01-13, 181
2009-01-14, 247
2009-01-15, 220
2009-01-16, 175
2009-01-17, 207
2009-01-18, 240
2009-01-19, 171
2009-01-20, 198
2009-01-21, 209
2009-01-22, 260
2009-01-23, 209
2009-01-24, 144
2009-01-25, 125
2009-01-26, 177
2009-01-27, 184
2009-01-28, 239
2009-01-29, 247
2009-01-30, 229
2009-01-31, 180
2009-02-01, 232
2009-02-02, 359
2009-02-03, 265
2009-02-04, 212
2009-02-05, 273
2009-02-06, 267
2009-02-07, 239
2009-02-08, 227
2009-02-09, 240
2009-02-10, 267
2009-02-11, 226
2009-02-12, 291
2009-02-13, 263
2009-02-14, 259
2009-02-15, 221
2009-02-16, 242
2009-02-17, 251
2009-02-18, 263
2009-02-19, 216
2009-02-20, 322
2009-02-21, 291
2009-02-22, 246
2009-02-23, 303
2009-02-24, 319
2009-02-25, 259
2009-02-26, 303
2009-02-27, 291
2009-02-28, 280
2009-03-01, 35
2009-03-02, 31
2009-03-03, 47
2009-03-04, 46
2009-03-05, 42
2009-03-06, 44
2009-03-07, 42
2009-03-08, 47
2009-03-09, 35
2009-03-10, 36
2009-03-11, 38
2009-03-12, 52
2009-03-13, 42
2009-03-14, 45
2009-03-15, 37
2009-03-16, 40
2009-03-17, 28
2009-03-18, 24
2009-03-19, 52
2009-03-20, 42
2009-03-21, 41
2009-03-22, 30
2009-03-23, 26
2009-03-24, 34
2009-03-25, 23
2009-03-26, 20
2009-03-27, 34
2009-03-28, 30
2009-03-29, 23
2009-03-30, 28
2009-03-31, 24
2009-04-01, 390
2009-04-02, 354
2009-04-03, 401
2009-04-04, 357
2009-04-05, 316
2009-04-06, 262
2009-04-07, 331
2009-04-08, 370
2009-04-09, 370
2009-04-10, 340
2009-04-11, 499
2009-04-12, 443
2009-04-13, 453
2009-04-14, 433
2009-04-15, 433
2009-04-16, 472
2009-04-17, #NA
2009-04-18, #NA
2009-04-19, 304
2009-04-20, 361
2009-04-21, 315
2009-04-22, 360
2009-04-23, 488
2009-04-24, 483
2009-04-25, 460
2009-04-26, 451
2009-04-27, 473
2009-04-28, 440
2009-04-29, 480
2009-04-30, 447
2009-05-01, 444
2009-05-02, 387
2009-05-03, 403
2009-05-04, 339
2009-05-05, 327
2009-05-06, 207
2009-05-07, 208
2009-05-08, 464
2009-05-09, 426
2009-05-10, 307
2009-05-11, 349
2009-05-12, 523
2009-05-13, 515
2009-05-14, 445
2009-05-15, 408
2009-05-16, 388
2009-05-17, 331
2009-05-18, 267
2009-05-19, 111
2009-05-20, 68
2009-05-21, 867
2009-05-22, 500
2009-05-23, 1119
2009-05-24, 958
2009-05-25, 967
2009-05-26, 1212
2009-05-27, 900
2009-05-28, 1264
2009-05-29, 1277
2009-05-30, 1363
2009-05-31, 959
2009-06-01, 1471
2009-06-02, 544
2009-06-03, 982
2009-06-04, 1605
2009-06-05, 1505
2009-06-06, 1267
2009-06-07, 1319
2009-06-08, 2182
2009-06-09, 1782
2009-06-10, 1887
2009-06-11, 1839
2009-06-12, 2036
2009-06-13, 1497
2009-06-14, 1242
2009-06-15, 1820
2009-06-16, 1619
2009-06-17, 1930
2009-06-18, 1438
2009-06-19, 1855
2009-06-20, 1290
2009-06-21, 1164
2009-06-22, 1812
2009-06-23, 1683
2009-06-24, 1776
2009-06-25, 1786
2009-06-26, 1717
2009-06-27, 1311
2009-06-28, 1268
2009-06-29, 1756
2009-06-30, 1763
2009-07-01, 1936
2009-07-02, 1815
2009-07-03, 1258
2009-07-04, 1260
2009-07-05, 1384
2009-07-06, 1745
2009-07-07, 1931
2009-07-08, 2020
2009-07-09, 2186
2009-07-10, 1864
2009-07-11, 1684
2009-07-12, 1534
2009-07-13, 1944
2009-07-14, 2366
2009-07-15, 2570
2009-07-16, 7169
2009-07-17, 1965
2009-07-18, 1597
2009-07-19, 1507
2009-07-20, 1676
2009-07-21, 1807
2009-07-22, 2142
2009-07-23, 2081
2009-07-24, 1980
2009-07-25, 1553
2009-07-26, 1536
2009-07-27, 1805
2009-07-28, 1785
2009-07-29, 1894
2009-07-30, 1987
2009-07-31, 1960
2009-08-01, 1504
2009-08-02, 1348
2009-08-03, 1825
2009-08-04, 1895
2009-08-05, 2235
2009-08-06, 1127
2009-08-07, 1303
2009-08-08, 1264
2009-08-09, 1556
2009-08-10, 1750
2009-08-11, 1851
2009-08-12, 1944
2009-08-13, 1909
2009-08-14, 2155
2009-08-15, 1599
2009-08-16, 1377
2009-08-17, 1934
2009-08-18, 2143
2009-08-19, 2043
2009-08-20, 2082
2009-08-21, 2112
2009-08-22, 6013
2009-08-23, 1599
2009-08-24, 2141
2009-08-25, 1928
2009-08-26, 2025
2009-08-27, 2018
2009-08-28, 1999
2009-08-29, 1561
2009-08-30, 1337
2009-08-31, 1854
2009-09-01, 2057
2009-09-02, 1994
2009-09-03, 2004
2009-09-04, 1873
2009-09-05, 1488
2009-09-06, 1438
2009-09-07, 1539
2009-09-08, 2089
2009-09-09, 2256
2009-09-10, 2133
2009-09-11, 1897
2009-09-12, 1555
2009-09-13, 1711
2009-09-14, 2361
2009-09-15, 1939
2009-09-16, 2001
2009-09-17, 2125
2009-09-18, 2046
2009-09-19, 1563
2009-09-20, 1636
2009-09-21, 2046
2009-09-22, 2087
2009-09-23, 1959
2009-09-24, 2252
2009-09-25, 2091
2009-09-26, 1612
2009-09-27, 1617
2009-09-28, 1982
2009-09-29, 2100
2009-09-30, 2054
2009-10-01, 2111
2009-10-02, 2217
2009-10-03, 1491
2009-10-04, 2410
2009-10-05, 1884
2009-10-06, 2148
2009-10-07, 2131
2009-10-08, 1944
2009-10-09, 2112
2009-10-10, 1484
2009-10-11, 1408
2009-10-12, 1632
2009-10-13, 1771
